Name	Name	PrimPrimEnd2	PrimPrimEnd1	PrimPrimAny
12288	1117	-1.49	-3.86	-4.16
12288	18314	-1.25	-1.52	-3.61
12288	11453	-1.49	-1.49	-5.40
12288	15479	-1.25	-4.52	-4.52
12288	19578	0.00	-1.42	-3.94
12288	13440	-1.49	-1.49	-4.06
12288	12823	-1.25	-1.25	-3.98
12288	1169	-1.25	-1.25	-4.06
12288	9362	0.00	-2.83	-5.68
12288	9363	0.00	-2.83	-5.68
12288	1180	-2.10	-2.10	-4.06
12288	1181	-2.10	-2.10	-4.06
12288	15521	-1.82	-8.10	-8.10
12288	15522	-1.82	-8.10	-8.10
12288	15523	0.00	-8.10	-8.10
12288	15529	-3.44	-3.44	-5.78
12288	13488	-3.44	-3.44	-4.39
12288	13489	-1.49	-3.05	-4.39
12288	15538	0.00	-1.05	-6.44
12288	13171	0.00	-2.21	-5.40
12288	11448	0.00	-1.29	-5.40
12288	11449	0.00	-1.29	-5.40
12288	11450	0.00	-1.29	-5.40
12288	11452	-1.49	-1.49	-5.40
12288	15562	0.00	-3.86	-3.89
12288	9411	0.00	-1.29	-5.90
12288	9417	-4.53	-4.53	-4.58
12288	9418	-4.53	-4.53	-4.58
12288	9419	-4.53	-4.53	-4.58
12288	9423	-1.49	-4.05	-4.42
12288	11471	-1.49	-1.49	-6.62
12288	1249	0.00	-3.64	-5.89
12288	1250	0.00	-1.08	-5.89
12288	11505	-3.44	-3.44	-3.89
12288	11506	-1.09	-2.92	-3.89
12288	11508	0.00	-2.92	-3.89
12288	1270	-1.49	-4.65	-5.72
12288	1271	-1.91	-4.65	-5.72
12288	1274	0.00	-4.65	-4.72
12288	5386	0.00	-2.09	-3.64
12288	3341	0.00	-0.91	-4.61
12288	3343	0.00	-0.91	-4.61
12288	11536	0.00	-2.96	-3.52
12288	1297	0.00	-1.29	-3.04
12288	1298	0.00	-1.29	-3.04
12288	1299	0.00	-1.29	-3.04
12288	1300	-1.11	-1.28	-5.51
12288	1301	-1.11	-1.28	-5.51
12288	3353	-1.49	-1.49	-4.61
12288	1306	-1.25	-1.25	-4.99
12288	3355	-1.49	-1.49	-4.61
12288	11550	-1.11	-1.29	-4.11
12288	3371	-3.07	-3.07	-4.95
12288	3372	-3.07	-3.07	-4.95
12288	19757	-1.31	-1.31	-5.85
12288	3377	0.00	-2.54	-4.95
12288	3378	0.00	-2.54	-4.95
12288	19763	-1.72	-1.72	-5.85
12288	19764	0.00	-1.05	-5.85
12288	3381	-1.49	-2.54	-4.95
12288	3383	0.00	-2.54	-4.95
12288	3384	0.00	-2.54	-5.84
12288	19769	-1.25	-1.25	-6.37
12288	19770	0.00	-0.74	-5.79
12288	19771	0.00	-0.74	-5.96
12288	3388	0.00	-2.54	-6.02
12288	3389	0.00	-2.54	-6.02
12288	1356	0.00	-1.29	-4.50
12288	1360	0.00	-1.29	-4.53
12288	1361	0.00	-1.29	-4.53
12288	9554	-1.49	-2.68	-4.71
