Name	Name	PrimPrimEnd2	PrimPrimEnd1	PrimPrimAny
11265	3543	-1.21	-5.34	-8.32
11265	12760	-1.19	-1.99	-4.28
11265	476	-1.11	-1.97	-3.24
11265	9693	0.00	-0.60	-3.61
11265	14302	-1.19	-3.62	-7.00
11265	19280	0.00	-0.60	-9.85
11265	18914	-1.19	-2.24	-3.82
11265	483	-1.21	-2.96	-4.45
11265	4068	-1.21	-1.99	-6.09
11265	4069	-1.11	-1.99	-6.09
11265	486	-1.32	-2.96	-4.45
11265	12775	0.00	-1.99	-4.03
11265	12777	0.00	-1.99	-3.99
11265	16875	0.00	-3.70	-4.81
11265	4078	-0.84	-1.99	-3.61
11265	15343	-1.19	-1.99	-3.54
11265	18417	0.00	-6.48	-6.48
11265	19442	0.00	-0.60	-3.85
11265	8179	0.00	-3.04	-6.57
11265	18420	-1.19	-6.48	-6.48
11265	8181	-1.19	-3.04	-6.57
11265	15350	-1.19	-1.97	-3.54
11265	8183	0.00	-3.04	-6.57
11265	19449	0.00	-3.31	-5.68
11265	8186	-1.81	-2.24	-6.57
11265	11261	-2.74	-2.74	-4.84
14850	8196	-1.35	-1.35	-4.69
14850	14341	-3.82	-3.82	-4.53
14850	14854	-3.41	-4.27	-4.27
14850	12295	-1.33	-1.33	-3.09
14850	15562	-1.33	-4.66	-4.66
14850	11692	0.00	-2.38	-4.29
14850	12300	0.00	-3.95	-4.39
14850	13325	0.00	-0.87	-3.87
14850	13327	-1.33	-1.33	-3.87
14850	18449	-1.33	-1.69	-3.91
14850	18328	-1.35	-1.67	-4.44
14850	15891	-1.25	-1.67	-3.08
14850	3092	-1.33	-1.82	-3.40
14850	18968	-1.35	-2.36	-2.87
14850	4121	0.00	-1.69	-5.59
14850	12826	0.00	-2.75	-2.84
14850	1052	-1.33	-2.88	-4.05
14850	12829	-1.96	-1.96	-4.39
14850	13343	0.00	0.00	-8.15
14850	18467	-1.25	-1.69	-2.65
14850	2481	0.00	-1.94	-4.14
14850	15400	-1.35	-1.35	-3.48
14850	15964	0.00	-1.84	-3.48
14850	1066	0.00	-2.88	-3.29
14850	14343	-1.37	-2.87	-2.98
14850	17964	0.00	-2.86	-5.56
14850	15405	0.00	-1.16	-3.08
14850	17966	-1.33	-4.00	-5.56
14850	1072	-1.33	-2.88	-3.29
14850	1075	-1.33	-2.88	-3.29
14850	566	-1.33	-1.33	-4.06
14850	1082	0.00	-1.16	-3.09
14850	19770	-1.25	-3.07	-5.30
14850	1086	0.00	-1.16	-3.09
14850	14401	-1.35	-7.79	-7.79
14850	1090	0.00	-1.16	-3.09
14850	579	0.00	-2.86	-4.06
14850	14405	-1.33	-6.05	-6.05
14850	3654	-1.33	-3.95	-4.93
14850	7239	-4.00	-4.33	-4.48
14850	3656	-1.35	-3.95	-5.40
14850	14409	-6.58	-6.58	-6.58
14850	7245	-1.33	-4.33	-4.48
14850	4688	-3.64	-3.64	-6.04
14850	7251	-2.29	-2.29	-4.48
14850	16983	0.00	-1.18	-7.89
